"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Авторизация","Регистрация с некорректным паролем","","0","0","1","0","0"
"Авторизация","Проверка процесса авторизации с некорректными данными","","0","0","1","0","0"
"Авторизация","Авторизация со страницы регистрации","","0","0","1","0","0"
"Авторизация","Проверка авторизации с разных страниц","","0","0","4","0","0"
"Авторизация","Авторизация с домашней страницы через персональный аккаунт","","0","0","2","0","0"
"Авторизация","Авторизация с корректными данными","","0","0","2","0","0"
"Авторизация","Проверка процесса авторизации","","0","0","2","0","0"
"Вкладки","Активная вкладка булочек","","0","0","1","0","0"
"Вкладки","Активные вкладки","","0","0","3","0","0"
"Авторизация","Авторизация с домашней страницы","","0","0","1","0","0"
"Вкладки","Активная вкладка начинок","","0","0","1","0","0"
"Вкладки","Активная вкладка соусов","","0","0","1","0","0"
