"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 08 00:20:37 MSK 2025","Mon Dec 08 00:20:39 MSK 2025","2307","","ru.practicum.RegistrationUserTest","","ru.practicum.RegistrationUserTest","testShortPasswordErrorMessage","Registration user with uncorrect pass",""
"passed","Mon Dec 08 00:20:25 MSK 2025","Mon Dec 08 00:20:28 MSK 2025","3355","","ru.practicum.LoginUserTest","","ru.practicum.LoginUserTest","testLoginRegFormPage","Login from registration page registration",""
"passed","Mon Dec 08 00:20:14 MSK 2025","Mon Dec 08 00:20:21 MSK 2025","7356","","ru.practicum.LoginUserTest","","ru.practicum.LoginUserTest","testLoginPersonalAccountPage","Login from home page personal account",""
"passed","Mon Dec 08 00:20:31 MSK 2025","Mon Dec 08 00:20:34 MSK 2025","2847","","ru.practicum.RegistrationUserParamTest","","ru.practicum.RegistrationUserParamTest","testNonFoundAFieldsRegForm[Имя: Qzrs0Ci, Емэил 1765142431403@mail.ru, Пароль: xJiX56]","Login user with correct data",""
"passed","Mon Dec 08 00:20:12 MSK 2025","Mon Dec 08 00:20:14 MSK 2025","2054","","ru.practicum.ActiveSectionTest","","ru.practicum.ActiveSectionTest","testActiveSectionBuns","Active section buns",""
"passed","Mon Dec 08 00:20:21 MSK 2025","Mon Dec 08 00:20:25 MSK 2025","3365","","ru.practicum.LoginUserTest","","ru.practicum.LoginUserTest","testLoginRecoveryPassPage","Login from recovery page personal account",""
"passed","Mon Dec 08 00:20:28 MSK 2025","Mon Dec 08 00:20:31 MSK 2025","3020","","ru.practicum.LoginUserTest","","ru.practicum.LoginUserTest","testLoginHomePage","Login home page",""
"passed","Mon Dec 08 00:20:06 MSK 2025","Mon Dec 08 00:20:09 MSK 2025","3849","","ru.practicum.ActiveSectionTest","","ru.practicum.ActiveSectionTest","testActiveSectionFillings","Active section fillings",""
"passed","Mon Dec 08 00:20:34 MSK 2025","Mon Dec 08 00:20:37 MSK 2025","3075","","ru.practicum.RegistrationUserParamTest","","ru.practicum.RegistrationUserParamTest","testNonFoundAFieldsRegForm[Имя: ioZE1Mh, Емэил 1765142431404@gmail.ru, Пароль: QQgfra]","Login user with correct data",""
"passed","Mon Dec 08 00:20:10 MSK 2025","Mon Dec 08 00:20:12 MSK 2025","2088","","ru.practicum.ActiveSectionTest","","ru.practicum.ActiveSectionTest","testActiveSectionSauces","Active section sauces",""
